"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/8GB/512 GB SSD/15.6""",Lenovo,IdeaPad,AMD Ryzen 7,8,512,SSD,,15.6,No,589
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/8 GB/512GB SSD/15.6""",Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,,15.6,No,549
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8GB/256 GB SSD/15.6""",Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,,15.6,No,459
"ASUS VivoBook F1605PA-MB124W Intel Core i7-11370H/8GB/512GB SSD/16""",Asus,VivoBook,Intel Core i7,8,512,SSD,,16,No,819
"ASUS VivoBook F1605PA-MB146 Intel Core i5-11300H/8GB/512GB SSD/16""",Asus,VivoBook,Intel Core i5,8,512,SSD,,16,No,609.01
"ASUS ZenBook 14 UM425QA-KI252 AMD Ryzen 7 5800H/16GB/512GB SSD/14""",Asus,ZenBook,AMD Ryzen 7,16,512,SSD,,14,No,999
"Acer Aspire 3 A315-59-504M Intel Core i5-1235U/16GB/512GB SSD/15.6""",Acer,Aspire,Intel Core i5,16,512,SSD,,15.6,No,739.01
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i7-12700H/16GB/512GB SSD/RTX3060/15.6""",Lenovo,IdeaPad,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1399
"ASUS VivoBook F1500EA-EJ3070W Intel Core i5-1135G7/16GB/512GB SSD/15.6""",Asus,VivoBook,Intel Core i5,16,512,SSD,,15.6,No,759.01
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/16GB/512GB SSD/15.6""",Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,,15.6,No,729
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/16GB/512GB SSD/15.6""",Lenovo,IdeaPad,Intel Core i5,16,512,SSD,,15.6,No,749
"HP 255 G9 AMD Athlon 3020e/8GB/256GB SSD/15.6""",HP,255,AMD Athlon,8,256,SSD,,15.6,No,349
"Lenovo IdeaPad 3 15ITL6 Intel Core i3-1115G4/8 GB/256GBSSD/15.6""",Lenovo,IdeaPad,Intel Core i3,8,256,SSD,,15.6,No,479
"HP 255 G9 AMD Ryzen 5 5625U/16GB/512 GB SSD/15.6""",HP,255,AMD Ryzen 5,16,512,SSD,,15.6,No,873.29
"Lenovo IdeaPad 5 15ALC05 AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,,15.6,No,589
"ASUS Chromebook CX1400CKA-EK0138 Intel Celeron N4500/8GB/64GB eMMC/14""",Asus,Chromebook,Intel Celeron,8,64,eMMC,,14,No,399.01
"Lenovo Legion 5 15ACH6H AMD Ryzen 7 5800H/16GB/512GB SSD/RTX3050Ti/15.6""",Lenovo,Legion,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,1079.01
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1135G7/8GB/512GB SSD/15.6"" Azul",Lenovo,IdeaPad,Intel Core i5,8,512,SSD,,15.6,No,649
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050Ti/15.6""",Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,999
"Lenovo ThinkBook 14 G2 ITL Intel Core i5-1135G7/16 GB/512GB SSD/14""",Lenovo,ThinkBook,Intel Core i5,16,512,SSD,,14,No,1019
"MSI Pulse GL76 12UEK-828XES Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/17.3""",MSI,Pulse,Intel Core i7,32,1000,SSD,RTX 3060,17.3,No,1499
"Apple Macbook Air Apple M2/8GB/256GB SSD/GPU Octa Core/13.6"" Gris Espacial",Apple,MacBook Air,Apple M2,8,256,SSD,,13.6,No,1519
"Acer Aspire 3 A317-53-53U0 Intel Core i5-1135G7/8GB/512GB SSD/17.3""",Acer,Aspire,Intel Core i5,8,512,SSD,,17.3,No,729
"MSI Raider GE68HX 13VF-045XES Intel Core i9-13950HX/32GB/1TB SSD/RTX 4060/16""",MSI,Raider,Intel Core i9,32,1000,SSD,RTX 4060,16,No,2599
"HP 15S-fq4042ns Intel Core i7-1195G7/8GB/512GB SSD/15.6""",HP,15S,Intel Core i7,8,512,SSD,,15.6,No,699
"Lenovo Legion 5 15IAH7H Intel Core i7-12700H/16GB/512GB SSD/RTX3060/15.6""",Lenovo,Legion,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1599
